,Manufacturer,Model,Engine_Capacity,Fuel_Type,Emissions_CO_[mg/km],Annual_fuel_Cost_10000_Miles
0,ABARTH,ABARTH 595,1368,Petrol,829,1325
1,ABARTH,ABARTH 595,1368,Petrol,829,1382
2,ABARTH,ABARTH 595,1368,Petrol,760,1403
3,ABARTH,ABARTH 595,1368,Petrol,760,1479
4,ABARTH,ABARTH 595,1368,Petrol,760,1403
5,ABARTH,ABARTH 595,1368,Petrol,760,1479
6,ABARTH,ABARTH 595,1368,Petrol,760,1403
7,ABARTH,ABARTH 595,1368,Petrol,760,1479
8,ABARTH,ABARTH 595,1368,Petrol,421,1520
9,ABARTH,ABARTH 595,1368,Petrol,600,1499
10,ABARTH,ABARTH 595,1368,Petrol,421,1520
11,ABARTH,ABARTH 595,1368,Petrol,600,1499
12,ABARTH,ABARTH 595,1368,Petrol,600,1499
13,ABARTH,ABARTH 595,1368,Petrol,421,1520
14,ABARTH,ABARTH 595,1368,Petrol,600,1499
15,ABARTH,ABARTH 595,1368,Petrol,600,1499
16,ABARTH,ABARTH 595,1368,Petrol,781,1421
17,ABARTH,ABARTH 595,1368,Petrol,781,1499
18,ABARTH,ABARTH 595,1368,Petrol,781,1421
19,ABARTH,ABARTH 595,1368,Petrol,781,1499
20,ABARTH,ABARTH 595,1368,Petrol,781,1421
21,ABARTH,ABARTH 595,1368,Petrol,781,1499
22,ABARTH,ABARTH 595,1368,Petrol,534,1403
23,ABARTH,ABARTH 595,1368,Petrol,781,1421
24,ABARTH,ABARTH 595,1368,Petrol,781,1499
25,ABARTH,ABARTH 595,1368,Petrol,534,1558
26,ABARTH,ABARTH 595,1368,Petrol,534,1403
27,ABARTH,ABARTH 595,1368,Petrol,781,1421
28,ABARTH,ABARTH 595,1368,Petrol,781,1499
29,ABARTH,ABARTH 595,1368,Petrol,534,1558
30,ABARTH,ABARTH 595,1368,Petrol,781,1421
31,ABARTH,ABARTH 595,1368,Petrol,781,1499
32,ABARTH,ABARTH 595,1368,Petrol,781,1421
33,ABARTH,ABARTH 595,1368,Petrol,781,1499
34,ABARTH,ABARTH 595,1368,Petrol,781,1421
35,ABARTH,ABARTH 595,1368,Petrol,781,1499
36,ABARTH,ABARTH 595,1368,Petrol,600,1499
37,ABARTH,ABARTH 595,1368,Petrol,421,1520
38,ABARTH,ABARTH 595,1368,Petrol,600,1499
39,ABARTH,ABARTH 595,1368,Petrol,421,1520
40,ABARTH,ABARTH 595,1368,Petrol,561,1345
41,ABARTH,ABARTH 595,1368,Petrol,493,1362
42,ABARTH,ABARTH 595,1368,Petrol,493,1421
43,ABARTH,ABARTH 595,1368,Petrol,561,1345
44,ABARTH,ABARTH 595,1368,Petrol,493,1362
45,ABARTH,ABARTH 595,1368,Petrol,493,1421
46,ABARTH,ABARTH 595,1368,Petrol,561,1345
47,ABARTH,ABARTH 595,1368,Petrol,561,1345
48,ABARTH,ABARTH 595,1368,Petrol,781,1421
49,ABARTH,ABARTH 595,1368,Petrol,781,1499
50,ABARTH,ABARTH 595,1368,Petrol,791,1285
51,ABARTH,ABARTH 595,1368,Petrol,576,1325
52,ABARTH,ABARTH 595,1368,Petrol,791,1362
53,ABARTH,ABARTH 595,1368,Petrol,576,1382
54,ABARTH,ABARTH 595,1368,Petrol,791,1285
55,ABARTH,ABARTH 595,1368,Petrol,576,1325
56,ABARTH,ABARTH 595,1368,Petrol,791,1362
57,ABARTH,ABARTH 595,1368,Petrol,576,1382
58,ABARTH,ABARTH 595,1368,Petrol,781,1421
59,ABARTH,ABARTH 595,1368,Petrol,781,1499
60,CHEVROLET,CHEVROLET CORVETTE,6162,Petrol,316,2361
61,CHEVROLET,CHEVROLET CORVETTE,6162,Petrol,316,2361
62,CITROEN,CITROEN Berlingo,1499,Diesel,52,990
63,CITROEN,CITROEN Berlingo,1499,Diesel,76,1022
64,CITROEN,CITROEN Berlingo,1499,Diesel,52,1184
65,CITROEN,CITROEN Berlingo,1499,Diesel,76,1227
66,CITROEN,CITROEN Berlingo,1499,Diesel,53,997
67,CITROEN,CITROEN Berlingo,1499,Diesel,90,1048
68,CITROEN,CITROEN Berlingo,1499,Diesel,53,1184
69,CITROEN,CITROEN Berlingo,1499,Diesel,90,1233
70,CITROEN,CITROEN Berlingo,1499,Diesel,86,1080
71,CITROEN,CITROEN Berlingo,1499,Diesel,86,1252
72,CITROEN,CITROEN Berlingo,1199,Petrol,444,1201
73,CITROEN,CITROEN Berlingo,1199,Petrol,444,1432
74,CITROEN,CITROEN Berlingo,1199,Petrol,588,1259
75,CITROEN,CITROEN Berlingo,1199,Petrol,588,1495
76,CITROEN,CITROEN C1,998,Petrol,197,934
77,CITROEN,CITROEN C1,998,Petrol,197,1004
78,CITROEN,CITROEN C3,1499,Diesel,79,846
79,CITROEN,CITROEN C3,1499,Diesel,79,1011
80,CITROEN,CITROEN C3,1199,Petrol,320,1068
81,CITROEN,CITROEN C3,1199,Petrol,320,1322
82,CITROEN,CITROEN C3,1199,Petrol,296,1163
83,CITROEN,CITROEN C3,1199,Petrol,296,1368
84,CITROEN,CITROEN C4,1499,Diesel,66,896
85,CITROEN,CITROEN C4,1499,Diesel,66,1004
86,CITROEN,CITROEN C4,1499,Diesel,114,976
87,CITROEN,CITROEN C4,1499,Diesel,114,1074
88,CITROEN,CITROEN C4,1199,Petrol,320,1068
89,CITROEN,CITROEN C4,1199,Petrol,320,1322
90,CITROEN,CITROEN C4,1199,Petrol,296,1163
91,CITROEN,CITROEN C4,1199,Petrol,296,1368
